mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,rms,label
-326.0813903808594,119.94651794433594,-8.71401309967041,50.32760238647461,-8.826094627380371,16.94477653503418,-24.42009735107422,1.7299350500106812,-15.351266860961914,-1.837449550628662,-11.909074783325195,-1.0241450071334839,-4.037167072296143,0.036717891693115234,1.0
-364.030029296875,130.06137084960938,-17.345914840698242,57.31032943725586,-14.44238567352295,27.606117248535156,-28.68975067138672,8.755877494812012,-15.651436805725098,-0.059498295187950134,-9.961304664611816,-2.2975754737854004,-3.072669744491577,0.018642643466591835,1.0
-311.4609375,115.97660827636719,-9.680146217346191,38.1017951965332,-7.335696220397949,15.417169570922852,-23.815027236938477,3.948798418045044,-11.53547477722168,-5.303504467010498,-13.478570938110352,-2.5178279876708984,-3.481085777282715,0.05009659007191658,1.0
-311.173583984375,118.67405700683594,-13.311175346374512,40.09825134277344,-5.400381565093994,14.245573043823242,-22.099063873291016,1.940496563911438,-14.104074478149414,-3.6311073303222656,-12.121784210205078,-1.547137975692749,-1.9004387855529785,0.04259811341762543,0.0
-375.17437744140625,129.51763916015625,-13.891773223876953,57.286922454833984,-7.648883819580078,26.42353057861328,-24.28738784790039,3.183854103088379,-13.376890182495117,-3.40765380859375,-12.589201927185059,-1.9231070280075073,-4.464970588684082,0.0186125710606575,0.0
-415.78009033203125,139.90895080566406,-15.725512504577637,58.978816986083984,-9.958847045898438,33.55463790893555,-25.172468185424805,8.87702751159668,-12.31678581237793,-0.6450695395469666,-10.169266700744629,-1.7514450550079346,-1.5749443769454956,0.010209056548774242,1.0
-292.3268737792969,135.22178649902344,-22.345685958862305,33.6309700012207,-21.470909118652344,6.267977237701416,-12.057981491088867,0.548185408115387,-15.260473251342773,-5.1687235832214355,-13.304588317871094,2.6864588260650635,-3.1248786449432373,0.05747152492403984,1.0
-383.83795166015625,142.65432739257812,-7.4764323234558105,39.48774337768555,-10.142221450805664,15.586207389831543,-8.724386215209961,8.833189964294434,-11.628373146057129,-4.7581377029418945,-7.737435340881348,0.7671182751655579,-1.4854927062988281,0.016625728458166122,1.0
-336.6752624511719,125.20314025878906,-7.050417423248291,28.087541580200195,-7.855982303619385,11.1050386428833,-10.897528648376465,2.6559557914733887,-11.259662628173828,-5.825399875640869,-11.814667701721191,-0.03683766722679138,-2.503865957260132,0.04412532225251198,1.0
-322.79705810546875,130.14105224609375,-14.104222297668457,27.854736328125,-7.625403881072998,4.631390571594238,-11.77271556854248,2.171250581741333,-12.566749572753906,-6.2584052085876465,-11.434391975402832,-1.2638545036315918,-3.989760160446167,0.04047105461359024,0.0
-361.9478759765625,140.20223999023438,-12.510377883911133,37.14231491088867,-10.607833862304688,10.209647178649902,-10.585359573364258,2.7116899490356445,-10.489356994628906,-5.647488117218018,-12.432418823242188,1.5542807579040527,-1.9794085025787354,0.028023961931467056,0.0
-418.9306335449219,153.59202575683594,-9.834096908569336,46.92988586425781,-12.478240013122559,23.004409790039062,-16.986438751220703,11.628419876098633,-13.545677185058594,-5.865649700164795,-7.292850017547607,-1.4376015663146973,-1.9618167877197266,0.012361397035419941,1.0
-360.7469177246094,122.1573486328125,-2.7968199253082275,35.3353271484375,-3.8462412357330322,12.773628234863281,-11.98754596710205,3.9190969467163086,-10.366708755493164,-9.064709663391113,-9.562251091003418,2.4460527896881104,-3.709306001663208,0.024934638291597366,1.0
-389.7679748535156,139.99722290039062,-10.512038230895996,45.02919006347656,-12.856545448303223,24.701749801635742,-17.837068557739258,7.114164352416992,-13.664621353149414,-4.265838623046875,-8.687037467956543,-1.9381303787231445,-2.5834555625915527,0.015217076055705547,1.0
-356.6225280761719,124.97587585449219,-8.285080909729004,42.7666130065918,-6.250164985656738,19.094099044799805,-14.0132474899292,3.9218897819519043,-12.159785270690918,-4.089495658874512,-10.142862319946289,-1.4101210832595825,-4.101601600646973,0.028020288795232773,1.0
-354.5372619628906,130.72525024414062,-10.715291976928711,38.308021545410156,-7.625863075256348,18.75870132446289,-14.982229232788086,4.27468204498291,-15.147400856018066,-6.466235160827637,-6.444804668426514,1.05525803565979,-4.374131679534912,0.02483108825981617,0.0
